"rzone10","ezone10","county10","isMPA","isPDX","is4co","isMult","isClack","isWash","isClarkco"
178,39,2,1,0,1,0,1,0,0
179,39,2,1,0,1,0,1,0,0
180,40,2,1,0,1,0,1,0,0
181,40,2,1,0,1,0,1,0,0
182,40,2,1,0,1,0,1,0,0
183,40,2,1,0,1,0,1,0,0
184,40,2,1,0,1,0,1,0,0
185,40,2,1,0,1,0,1,0,0
186,28,2,1,0,1,0,1,0,0
187,28,2,1,0,1,0,1,0,0
188,28,2,1,0,1,0,1,0,0
189,28,2,1,0,1,0,1,0,0
190,31,2,1,0,1,0,1,0,0
191,31,2,1,0,1,0,1,0,0
192,31,2,1,0,1,0,1,0,0
193,32,2,1,0,1,0,1,0,0
194,28,2,1,0,1,0,1,0,0
195,28,2,1,0,1,0,1,0,0
196,31,2,1,0,1,0,1,0,0
197,31,2,1,0,1,0,1,0,0
198,31,2,1,0,1,0,1,0,0
199,31,2,1,0,1,0,1,0,0
200,31,2,1,0,1,0,1,0,0
201,30,2,1,0,1,0,1,0,0
202,30,2,1,0,1,0,1,0,0
203,30,2,1,0,1,0,1,0,0
204,30,2,1,0,1,0,1,0,0
205,30,2,1,0,1,0,1,0,0
206,29,2,1,0,1,0,1,0,0
207,29,2,1,0,1,0,1,0,0
208,29,2,1,0,1,0,1,0,0
209,29,2,1,0,1,0,1,0,0
210,29,2,1,0,1,0,1,0,0
211,33,2,1,0,1,0,1,0,0
212,33,2,1,0,1,0,1,0,0
213,33,2,1,0,1,0,1,0,0
214,33,2,1,0,1,0,1,0,0
215,33,2,1,0,1,0,1,0,0
216,33,2,1,0,1,0,1,0,0
217,33,2,1,0,1,0,1,0,0
218,33,2,1,0,1,0,1,0,0
219,37,2,1,0,1,0,1,0,0
220,38,2,1,0,1,0,1,0,0
221,38,2,0,0,1,0,1,0,0
222,38,2,1,0,1,0,1,0,0
223,38,2,0,0,1,0,1,0,0
224,41,2,0,0,1,0,1,0,0
225,41,2,0,0,1,0,1,0,0
226,41,2,0,0,1,0,1,0,0
227,41,2,0,0,1,0,1,0,0
228,41,2,0,0,1,0,1,0,0
229,36,2,1,0,1,0,1,0,0
230,36,2,0,0,1,0,1,0,0
231,36,2,0,0,1,0,1,0,0
232,34,2,1,0,1,0,1,0,0
233,34,2,1,0,1,0,1,0,0
